Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																																																						0.072063	0.000000	0.000000	0.048042	0.000000	0.120105																																																																																											-0.240210	
 1 	 2																																																																						0.028850	0.000000	0.000000	0.019233	0.000000	0.048083																																																																																											-0.096166	
 1 	 3																																																																						0.014364	0.000000	0.000000	0.009576	0.000000	0.023939																																																																																											-0.047878	
 1 	 4																																																																						0.173099	0.000000	0.000000	0.115399	0.000000	0.288498																																																																																											-0.576996	
 1 	 5																																																																						0.461597	0.000000	0.000000	0.307731	0.000000	0.769327																																																																																											-1.538655	
 1 	 6																																																																						1.153991	0.000000	0.000000	0.769328	0.000000	1.923319																																																																																											-3.846638	
 1 	 7																																																																						2.235551	0.000000	0.000000	1.490368	0.000000	3.725919																																																																																											-7.451838	
 1 	 8																																																																						1.947090	0.000000	0.000000	1.298061	0.000000	3.245150																																																																																											-6.490301	
 1 	 9																																																																						1.802866	0.000000	0.000000	1.201911	0.000000	3.004776																																																																																											-6.009553	
 1 	 10																																																																						2.019215	0.000000	0.000000	1.346144	0.000000	3.365358																																																																																											-6.730716	
 1 	 11																																																																						2.307664	0.000000	0.000000	1.538443	0.000000	3.846106																																																																																											-7.692212	
 1 	 12																																																																						2.538437	0.000000	0.000000	1.692292	0.000000	4.230728																																																																																											-8.461458	
 1 	 13																																																																						2.307664	0.000000	0.000000	1.538443	0.000000	3.846106																																																																																											-7.692212	
 1 	 14																																																																						2.336513	0.000000	0.000000	1.557676	0.000000	3.894188																																																																																											-7.788378	
 1 	 15																																																																						2.624974	0.000000	0.000000	1.749983	0.000000	4.374957																																																																																											-8.749915	
 1 	 16																																																																						2.740361	0.000000	0.000000	1.826908	0.000000	4.567268																																																																																											-9.134537	
 1 	 17																																																																						2.740361	0.000000	0.000000	1.826908	0.000000	4.567268																																																																																											-9.134537	
 1 	 18																																																																						2.019215	0.000000	0.000000	1.346144	0.000000	3.365358																																																																																											-6.730716	
 1 	 19																																																																						1.442293	0.000000	0.000000	0.961529	0.000000	2.403821																																																																																											-4.807643	
 1 	 20																																																																						1.081560	0.000000	0.000000	0.721040	0.000000	1.802600																																																																																											-3.605200	
 1 	 21																																																																						0.720631	0.000000	0.000000	0.480421	0.000000	1.201051																																																																																											-2.402103	
 1 	 22																																																																						0.461597	0.000000	0.000000	0.307731	0.000000	0.769327																																																																																											-1.538655	
 1 	 23																																																																						0.288498	0.000000	0.000000	0.192332	0.000000	0.480830																																																																																											-0.961659	
 1 	 24																																																																						0.115399	0.000000	0.000000	0.076933	0.000000	0.192332																																																																																											-0.384664	
 2 	 1																																																																						0.072063	0.000000	0.000000	0.048042	0.000000	0.120105																																																																																											-0.240210	
 2 	 2																																																																						0.028850	0.000000	0.000000	0.019233	0.000000	0.048083																																																																																											-0.096166	
 2 	 3																																																																						0.014364	0.000000	0.000000	0.009576	0.000000	0.023939																																																																																											-0.047878	
 2 	 4																																																																						0.173099	0.000000	0.000000	0.115399	0.000000	0.288498																																																																																											-0.576996	
 2 	 5																																																																						0.461597	0.000000	0.000000	0.307731	0.000000	0.769327																																																																																											-1.538655	
 2 	 6																																																																						1.153991	0.000000	0.000000	0.769328	0.000000	1.923319																																																																																											-3.846638	
 2 	 7																																																																						2.235551	0.000000	0.000000	1.490368	0.000000	3.725919																																																																																											-7.451838	
 2 	 8																																																																						1.947090	0.000000	0.000000	1.298061	0.000000	3.245150																																																																																											-6.490301	
 2 	 9																																																																						1.802866	0.000000	0.000000	1.201911	0.000000	3.004776																																																																																											-6.009553	
 2 	 10																																																																						2.019215	0.000000	0.000000	1.346144	0.000000	3.365358																																																																																											-6.730716	
 2 	 11																																																																						2.307664	0.000000	0.000000	1.538443	0.000000	3.846106																																																																																											-7.692212	
 2 	 12																																																																						2.538437	0.000000	0.000000	1.692292	0.000000	4.230728																																																																																											-8.461458	
 2 	 13																																																																						2.307664	0.000000	0.000000	1.538443	0.000000	3.846106																																																																																											-7.692212	
 2 	 14																																																																						2.336513	0.000000	0.000000	1.557676	0.000000	3.894188																																																																																											-7.788378	
 2 	 15																																																																						2.624974	0.000000	0.000000	1.749983	0.000000	4.374957																																																																																											-8.749915	
 2 	 16																																																																						2.740361	0.000000	0.000000	1.826908	0.000000	4.567268																																																																																											-9.134537	
 2 	 17																																																																						2.740361	0.000000	0.000000	1.826908	0.000000	4.567268																																																																																											-9.134537	
 2 	 18																																																																						2.019215	0.000000	0.000000	1.346144	0.000000	3.365358																																																																																											-6.730716	
 2 	 19																																																																						1.442293	0.000000	0.000000	0.961529	0.000000	2.403821																																																																																											-4.807643	
 2 	 20																																																																						1.081560	0.000000	0.000000	0.721040	0.000000	1.802600																																																																																											-3.605200	
 2 	 21																																																																						0.720631	0.000000	0.000000	0.480421	0.000000	1.201051																																																																																											-2.402103	
